,nickname,id,twit
305,소중한 TV(JTBC America),sojoongtv,"http://ustream.tv/recorded/52483543…
9월 9일(화) JTBC America News 방송. 
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
306,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/U9eZ)"
307,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/UBGh)"
308,소중한 TV(JTBC America),sojoongtv,"오전 10시 9월 9일 (화) JTBC 9News가 방송 됩니다.
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
309,샤메이마루 아야 ,Shameimaru__Aya,@kanako_krrpa 예? #아편
310,아티초크 출판 & 스토어,artichokehouse,입생로랑의 향수 #아편 들 가운데 어떤 향이 #보들레르 #악의꽃 이미지에 가장 잘 어울릴까요? ^.^ #출간임박 #아티초크빈티지 http://artichokehouse.com
311,소중한 TV(JTBC America),sojoongtv,"오후 6시 15분, 9월 9일(화) JTBC America News 방송됩니다. 
http://sojoongtv.com
#jtbc #중앙일보 #김병일 #바이러스 #애플 #마라톤 #아편 #서성희"
312,소중한 TV(JTBC America),sojoongtv,"http://ustream.tv/recorded/52483543…
9월 9일(화) JTBC America News 방송. 
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
313,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/U9eZ)"
314,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/UBGh)"
315,소중한 TV(JTBC America),sojoongtv,"오전 10시 9월 9일 (화) JTBC 9News가 방송 됩니다.
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
316,샤메이마루 아야 ,Shameimaru__Aya,@kanako_krrpa 예? #아편
317,아티초크 출판 & 스토어,artichokehouse,입생로랑의 향수 #아편 들 가운데 어떤 향이 #보들레르 #악의꽃 이미지에 가장 잘 어울릴까요? ^.^ #출간임박 #아티초크빈티지 http://artichokehouse.com
318,소중한 TV(JTBC America),sojoongtv,"오후 6시 15분, 9월 9일(화) JTBC America News 방송됩니다. 
http://sojoongtv.com
#jtbc #중앙일보 #김병일 #바이러스 #애플 #마라톤 #아편 #서성희"
319,소중한 TV(JTBC America),sojoongtv,"http://ustream.tv/recorded/52483543…
9월 9일(화) JTBC America News 방송. 
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
320,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/U9eZ)"
